id,code,accounting_id,name,initial_balance,final_balance,debit_movement,credit_movement,third_party_type_id,third_party_id,year,month
193,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-50000.0,0.0,50000.0,Contact,80,2024,2
194,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,2273000.0,2273000.0,0.0,Contact,105,2024,2
195,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,100000.0,100000.0,0.0,Contact,114,2024,2
196,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,122124.0,122124.0,0.0,Contact,117,2024,2
197,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-428621.0,0.0,428621.0,Contact,138,2024,2
198,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-212501.0,0.0,212501.0,Contact,142,2024,2
199,1.40801,140801,Mercancías no fabricadas por la empresa,0.0,-210000.0,0.0,210000.0,Contact,145,2024,2
200,1.41301,141301,Servicios,0.0,-1.0,0.0,1.0,Contact,34,2024,2
201,1.41301,141301,Servicios,0.0,-5352002.0,0.0,5352002.0,Contact,42,2024,2
202,1.41301,141301,Servicios,0.0,-470000.0,0.0,470000.0,Contact,80,2024,2
203,1.41301,141301,Servicios,0.0,150000.0,150000.0,0.0,Contact,105,2024,2
204,1.41301,141301,Servicios,0.0,-309000.0,0.0,309000.0,Contact,138,2024,2
205,1.41301,141301,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,142,2024,2
206,1.41301,141301,Servicios,0.0,-5100001.0,0.0,5100001.0,Contact,145,2024,2
207,2.20601,220601,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,535500.0,0.0,535500.0,Contact,71,2024,2
208,2.20601,220601,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,2423000.0,0.0,2423000.0,Contact,105,2024,2
209,2.20601,220601,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,119000.0,0.0,119000.0,Contact,114,2024,2
210,2.20601,220601,Acreedor Comercial-Cuentas Corrientes Comerciales,0.0,145327.56,0.0,145327.56,Contact,117,2024,2
211,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,570000.0,0.0,570000.0,Contact,1,2024,2
212,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,9500.0,0.0,9500.0,Contact,13,2024,2
213,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,23940.0,0.0,23940.0,Contact,34,2024,2
214,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,47500.0,0.0,47500.0,Contact,42,2024,2
215,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,9500.0,0.0,9500.0,Contact,80,2024,2
216,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,1235.23,0.0,1235.23,Contact,138,2024,2
217,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,78945.0,0.0,78945.0,Contact,142,2024,2
218,2.40401,240401,Impuesto Sobre Las Ventas Por Pagar,0.0,332500.0,0.0,332500.0,Contact,145,2024,2
219,2.40402,240402,Impuesto Sobre Las Ventas Descontable,0.0,-85500.0,85500.0,0.0,Contact,71,2024,2
220,2.40402,240402,Impuesto Sobre Las Ventas Descontable,0.0,-19000.0,19000.0,0.0,Contact,114,2024,2
221,2.40402,240402,Impuesto Sobre Las Ventas Descontable,0.0,-23203.56,23203.56,0.0,Contact,117,2024,2
222,2.42208,242208,Compras,0.0,-45000.0,45000.0,0.0,Contact,1,2024,2
223,2.42208,242208,Compras,0.0,-127500.0,127500.0,0.0,Contact,142,2024,2
224,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,3000000.0,0.0,3000000.0,Contact,1,2024,2
225,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,13,2024,2
226,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,1000.0,0.0,1000.0,Contact,34,2024,2
227,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,50000.0,0.0,50000.0,Contact,80,2024,2
228,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,157501.19,0.0,157501.19,Contact,138,2024,2
229,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,315500.0,0.0,315500.0,Contact,142,2024,2
230,4.10798,410798,Comercio Al Por Mayor Y Al Por Menor,0.0,1613600.0,0.0,1613600.0,Contact,145,2024,2
231,4.11801,411801,Servicios,0.0,125000.0,0.0,125000.0,Contact,34,2024,2
232,4.11801,411801,Servicios,0.0,5502001.0,0.0,5502001.0,Contact,42,2024,2
